State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,Core Set Year,Population,Methodology,State Rate,Number of States Reporting,Mean,Median,Bottom Quartile,Top Quartile,Notes,Source,State-Specific Comments,Rate Used in Calculating State Mean and Median
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,42.8,50,45.1,43.6,37.6,50.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,42.7,50,45.1,43.6,37.6,50.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 11,2024,Separate CHIP (Title XXI),Administrative,DS,50,45.1,43.6,37.6,50.5,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,61.7,50,60.1,59.7,55.1,63.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,61.7,50,60.1,59.7,55.1,63.8,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 12 to 17,2024,Separate CHIP (Title XXI),Administrative,DS,50,60.1,59.7,55.1,63.8,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,55.4,52,55.4,54.6,50.4,59.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,55.4,52,55.4,54.6,50.4,59.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose: Ages 1 to 17,2024,Separate CHIP (Title XXI),Administrative,DS,52,55.4,54.6,50.4,59.6,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,22.4,50,32.3,30.1,24.7,35.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,22.4,50,32.3,30.1,24.7,35.7,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 11,2024,Separate CHIP (Title XXI),Administrative,DS,50,32.3,30.1,24.7,35.7,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,31.5,50,38.9,39.0,31.6,45.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,31.5,50,38.9,39.0,31.6,45.3,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 12 to 17,2024,Separate CHIP (Title XXI),Administrative,DS,50,38.9,39.0,31.6,45.3,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,28.5,52,36.9,36.7,30.4,43.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,28.5,52,36.9,36.7,30.4,43.2,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Cholesterol: Ages 1 to 17,2024,Separate CHIP (Title XXI),Administrative,DS,52,36.9,36.7,30.4,43.2,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,21.2,50,30.8,28.2,23.5,35.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,21.2,50,30.8,28.2,23.5,35.1,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 11,2024,Separate CHIP (Title XXI),Administrative,DS,50,30.8,28.2,23.5,35.1,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,30.7,50,37.8,37.3,30.5,43.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,30.7,50,37.8,37.3,30.5,43.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 12 to 17,2024,Separate CHIP (Title XXI),Administrative,DS,50,37.8,37.3,30.5,43.9,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,27.6,52,35.6,35.2,29.0,41.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,27.6,52,35.6,35.2,29.0,41.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Metabolic Monitoring for Children and Adolescents on Antipsychotics: Ages 1 to 17,APM-CH,Higher rates are better for this measure,Percentage with Two or More Antipsychotic Prescriptions that had Metabolic Testing for Blood Glucose and Cholesterol: Ages 1 to 17,2024,Separate CHIP (Title XXI),Administrative,DS,52,35.6,35.2,29.0,41.5,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Screening for Depression and Follow-Up Plan: Ages 12 to 17,CDF-CH,Higher rates are better for this measure,"Percentage Screened for Depression and, if Positive, Provided a Follow-Up Plan: Ages 12 to 17",2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,NPR,42,6.7,2.0,0.5,8.7,NPR = CMS is not publicly reporting state-specific performance rates for this measure.,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Screening for Depression and Follow-Up Plan: Ages 12 to 17,CDF-CH,Higher rates are better for this measure,"Percentage Screened for Depression and, if Positive, Provided a Follow-Up Plan: Ages 12 to 17",2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,NPR,42,6.7,2.0,0.5,8.7,NPR = CMS is not publicly reporting state-specific performance rates for this measure.,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rate includes FFS and managed care populations (6 MCOs). Rate was audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Screening for Depression and Follow-Up Plan: Ages 12 to 17,CDF-CH,Higher rates are better for this measure,"Percentage Screened for Depression and, if Positive, Provided a Follow-Up Plan: Ages 12 to 17",2024,Separate CHIP (Title XXI),Administrative,NPR,42,6.7,2.0,0.5,8.7,NPR = CMS is not publicly reporting state-specific performance rates for this measure.,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rate includes FFS and managed care populations (6 MCOs). Rate was audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,61.1,51,59.2,57.9,52.9,63.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,61.1,51,59.2,57.9,52.9,63.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 11,2024,Separate CHIP (Title XXI),Administrative,NA,51,59.2,57.9,52.9,63.6,NA = State reported a denominator of zero.,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,65.4,52,62.8,62.0,58.2,67.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 12 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,65.4,52,62.8,62.0,58.2,67.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 12 to 17,2024,Separate CHIP (Title XXI),Administrative,NA,52,62.8,62.0,58.2,67.0,NA = State reported a denominator of zero.,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,63.9,52,61.5,59.9,57.1,66.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 17,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,63.9,52,61.5,59.9,57.1,66.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Behavioral Health Care,Child Core Set,Use of First-Line Psychosocial Care for Children and Adolescents on Antipsychotics: Ages 1 to 17,APP-CH,Higher rates are better for this measure,Percentage who had a New Prescription for an Antipsychotic Medication and had Documentation of Psychosocial Care as First-Line Treatment: Ages 1 to 17,2024,Separate CHIP (Title XXI),Administrative,NA,52,61.5,59.9,57.1,66.5,NA = State reported a denominator of zero.,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rates include FFS and managed care populations (6 MCOs). Rates were audited or validated.,No
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,46.8,52,38.7,34.7,39.5,31.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP",Administrative,46.8,52,38.7,34.7,39.5,31.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Medicaid rate includes FFS and managed care populations (6 MCOs). Rate was audited or validated.,No
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0 to 19,AMB-CH,Lower rates are better for this measure,"Emergency Department Visits per 1,000 Beneficiary Months: Ages 0 to 19",2024,Separate CHIP (Title XXI),Administrative,27.7,52,38.7,34.7,39.5,31.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Separate CHIP rate includes FFS and managed care populations (6 MCOs). Rate was audited or validated.,No
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Asthma Medication Ratio: Ages 5 to 18,AMR-CH,Higher rates are better for this measure,Percentage with Persistent Asthma who had a Ratio of Controller Medications to Total Asthma Medications of 0.50 or Greater: Ages 5 to 11,2024,"Medicaid (Title XIX), Title XXI-funded Medicaid Expansion CHIP, Separate CHIP (Title XXI)",Administrative,81.2,51,72.8,73.2,65.3,80.0,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the 2024 Core Set as of April 28, 2025.",Rate combines the Medicaid and separate CHIP data reported by the state in the QMR system. See Medicaid and separate CHIP state-specific comments for information about the data reported for each population.,Yes
